GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyATM,ua.pti.myatm,ATM,68,26,9,3,12,9,7,4,2,3
MyATM,ua.pti.myatm,MyATM,25,0,0,0,8,0,2,0,2,0
